id,postal_cd,country_cd,city_name,state_abbrv,latitude,longitude
10969,27030,US,Mount Airy,NC,36.4584630000,-80.6207230000
10970,27031,US,White Plains,NC,36.4995000000,-80.6078000000
10971,27040,US,Pfafftown,NC,36.1606880000,-80.3785550000
10972,27041,US,Pilot Mountain,NC,36.4131180000,-80.4728300000
10973,27042,US,Pine Hall,NC,36.3427770000,-80.0551180000
10974,27043,US,Pinnacle,NC,36.3392840000,-80.4451100000
10975,27045,US,Rural Hall,NC,36.2417780000,-80.2952500000
10976,27046,US,Sandy Ridge,NC,36.4801370000,-80.0961850000
10977,27047,US,Siloam,NC,36.3151800000,-80.5814930000
10978,27048,US,Stoneville,NC,36.4634620000,-79.9078540000
10979,27049,US,Toast,NC,36.5004000000,-80.6268000000
10980,27050,US,Tobaccoville,NC,36.2401260000,-80.3950200000
10981,27051,US,Walkertown,NC,36.1818240000,-80.1633940000
10982,27052,US,Walnut Cove,NC,36.3227710000,-80.1779760000
10983,27053,US,Westfield,NC,36.4607140000,-80.3667140000
10984,27054,US,Woodleaf,NC,35.7828580000,-80.6093610000
10985,27055,US,Yadkinville,NC,36.1232830000,-80.6370720000
10986,27094,US,Rural Hall,NC,36.2404000000,-80.2936000000
10987,27098,US,Rural Hall,NC,36.2404000000,-80.2936000000
10988,27099,US,Rural Hall,NC,36.2404000000,-80.2936000000
