id,postal_cd,country_cd,city_name,state_abbrv,latitude,longitude
10989,27101,US,Winston Salem,NC,36.1180170000,-80.2003700000
10990,27102,US,Winston Salem,NC,36.0983000000,-80.2466000000
10991,27103,US,Winston Salem,NC,36.0536010000,-80.3177290000
10992,27104,US,Winston Salem,NC,36.0977290000,-80.3234930000
10993,27105,US,Winston Salem,NC,36.1652710000,-80.2409280000
10994,27106,US,Winston Salem,NC,36.1480110000,-80.3242050000
10995,27107,US,Winston Salem,NC,35.9937810000,-80.1746430000
10996,27108,US,Winston Salem,NC,36.0866000000,-80.2488000000
10997,27109,US,Winston Salem,NC,36.1332620000,-80.2771730000
10998,27110,US,Winston Salem,NC,36.0894420000,-80.2243650000
10999,27111,US,Winston Salem,NC,36.0986000000,-80.2468000000
11000,27113,US,Winston Salem,NC,36.0983000000,-80.2466000000
11001,27114,US,Winston Salem,NC,36.1004000000,-80.2485000000
11002,27115,US,Winston Salem,NC,36.0967000000,-80.2507000000
11003,27116,US,Winston Salem,NC,36.0960000000,-80.2466000000
11004,27117,US,Winston Salem,NC,36.0999000000,-80.2467000000
11005,27120,US,Winston Salem,NC,36.1042000000,-80.2444000000
11006,27127,US,Winston Salem,NC,36.0223090000,-80.2908640000
11007,27130,US,Winston Salem,NC,36.0768000000,-80.2497000000
11008,27150,US,Winston Salem,NC,36.1002000000,-80.2088000000
