id,postal_cd,country_cd,city_name,state_abbrv,latitude,longitude
11069,27302,US,Mebane,NC,36.1365020000,-79.2670040000
11070,27305,US,Milton,NC,36.5083430000,-79.2173380000
11071,27306,US,Mount Gilead,NC,35.2198350000,-79.9742320000
11072,27310,US,Oak Ridge,NC,36.1721180000,-79.9917580000
11073,27311,US,Pelham,NC,36.4627740000,-79.4800870000
11074,27312,US,Pittsboro,NC,35.7538780000,-79.2054790000
11075,27313,US,Pleasant Garden,NC,35.9289080000,-79.7504140000
11076,27314,US,Prospect Hill,NC,36.2934180000,-79.1947790000
11077,27315,US,Providence,NC,36.5004480000,-79.3932600000
11078,27316,US,Ramseur,NC,35.6874160000,-79.6160020000
11079,27317,US,Randleman,NC,35.8388080000,-79.7976910000
11080,27320,US,Reidsville,NC,36.3418860000,-79.6437100000
11081,27323,US,Reidsville,NC,36.3547000000,-79.6644000000
11082,27325,US,Robbins,NC,35.4579280000,-79.5517790000
11083,27326,US,Ruffin,NC,36.4458740000,-79.5495460000
11084,27330,US,Sanford,NC,35.5104800000,-79.1997270000
11085,27331,US,Sanford,NC,35.4797000000,-79.1809000000
11086,27332,US,Sanford,NC,35.3657040000,-79.1482420000
11087,27340,US,Saxapahaw,NC,35.9472000000,-79.3220000000
11088,27341,US,Seagrove,NC,35.5214790000,-79.6963540000
