id,postal_cd,country_cd,city_name,state_abbrv,latitude,longitude
11170,27533,US,Goldsboro,NC,35.3849000000,-77.9931000000
11171,27534,US,Goldsboro,NC,35.3607180000,-77.9025230000
11172,27536,US,Henderson,NC,36.3217970000,-78.4123500000
11173,27537,US,Henderson,NC,36.3718680000,-78.3790980000
11174,27539,US,Apex,NC,35.6833380000,-78.8132640000
11175,27540,US,Holly Springs,NC,35.6045610000,-78.8612220000
11176,27541,US,Hurdle Mills,NC,36.2630870000,-79.0736150000
11177,27542,US,Kenly,NC,35.6129380000,-78.1505460000
11178,27543,US,Kipling,NC,35.3968000000,-78.8094000000
11179,27544,US,Kittrell,NC,36.1996480000,-78.4539200000
11180,27545,US,Knightdale,NC,35.7919960000,-78.4757580000
11181,27546,US,Lillington,NC,35.3451670000,-78.8682120000
11182,27549,US,Louisburg,NC,36.0829420000,-78.2128620000
11183,27551,US,Macon,NC,36.4103080000,-78.0512640000
11184,27552,US,Mamers,NC,35.4167000000,-78.9339000000
11185,27553,US,Manson,NC,36.4692230000,-78.3008880000
11186,27555,US,Micro,NC,35.5630200000,-78.2017160000
11187,27556,US,Middleburg,NC,36.4007000000,-78.3248000000
11188,27557,US,Middlesex,NC,35.7876730000,-78.2033310000
11189,27559,US,Moncure,NC,35.6147860000,-79.0633470000
