id,postal_cd,country_cd,city_name,state_abbrv,latitude,longitude
11089,27342,US,Sedalia,NC,36.0755400000,-79.6302730000
11090,27343,US,Semora,NC,36.4945740000,-79.0927340000
11091,27344,US,Siler City,NC,35.7171160000,-79.4408480000
11092,27349,US,Snow Camp,NC,35.8978540000,-79.4004240000
11093,27350,US,Sophia,NC,35.7974430000,-79.8963320000
11094,27351,US,Southmont,NC,35.6676000000,-80.2672000000
11095,27355,US,Staley,NC,35.7962280000,-79.5688200000
11096,27356,US,Star,NC,35.4354100000,-79.7965640000
11097,27357,US,Stokesdale,NC,36.2693500000,-79.9727740000
11098,27358,US,Summerfield,NC,36.2288800000,-79.8723300000
11099,27359,US,Swepsonville,NC,36.0211000000,-79.3614000000
11100,27360,US,Thomasville,NC,35.8637790000,-80.1013180000
11101,27361,US,Thomasville,NC,35.8825000000,-80.0824000000
11102,27370,US,Trinity,NC,35.8031550000,-79.9811240000
11103,27371,US,Troy,NC,35.4315210000,-79.9538040000
11104,27373,US,Wallburg,NC,36.0101000000,-80.1394000000
11105,27374,US,Welcome,NC,35.9029000000,-80.2573000000
11106,27375,US,Wentworth,NC,36.4000000000,-79.7732000000
11107,27376,US,West End,NC,35.2515940000,-79.5339420000
11108,27377,US,Whitsett,NC,36.0374240000,-79.6071890000
